K Value,Euclidean,Manhattan,Minkowski,Cosine,Hamming
3,0.9473684210526315,0.956140350877193,0.9385964912280702,0.9649122807017544,0.6842105263157895
4,0.956140350877193,0.9649122807017544,0.9385964912280702,0.956140350877193,0.6754385964912281
9,0.9385964912280702,0.9473684210526315,0.9298245614035088,0.9473684210526315,0.6578947368421053
20,0.9385964912280702,0.9385964912280702,0.9385964912280702,0.956140350877193,0.6754385964912281
47,0.9385964912280702,0.9385964912280702,0.9385964912280702,0.956140350877193,0.5877192982456141
